,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
ALBANIA,,,,,,,,,,,,2015
ALGERIA,,,,,,,,,,,,2015
ARGENTINA,"67,086","14,373",405,29,126,0,60,"67,534","1,497,419",0,"186,787",2015
ARMENIA,503,44,2,2,0,336,2,228,655,,,2015
AUSTRALIA,"69,420","14,178","1,119",,"1,869","32,481",381,"70,130",,,,2015
AUSTRIA,"7,811","1,389",12,12,270,"57,542",103,"9,162","537,437","650,000","505,000",2015
AZERBAIJAN,,,,,,,,,,,,2015
BAHRAIN,134,26,0,1,2,21,0,133,430,449,94,2015
BELARUS,,,,,,,,,,,,2015
BELGIUM,"17,098","3,222",3,11,325,"54,549",498,"15,194","1,164,280",,,2015
BOLIVIA,"3,798",852,37,2,12,640,8,"5,343","18,337","5,500",640,2015
BOSNIA AND HERZEGOVINA,,,,,,,,,,,,2015
BRAZIL,"148,013","42,098",691,60,242,0,91,"148,013","2,396,690","4,511,236","83,015",2015
BULGARIA,"3,590",904,6,53,63,,57,"3,878","33,730",,,2015
CHILE,,,,,,,,,,,,2015
CHINA,"48,770","18,045",293,67,24,"15,915",114,"50,531","361,354","50,531","11,301",2015
COLOMBIA,,,,,,,,,,,,2015
COSTA RICA,"2,368","1,200",2,2,13,"1,020",8,"2,368","2,368","2,980","2,500",2015
CROATIA,"10,394","2,052",14,18,120,"3,726",135,"10,852","262,864","400,000",,2015
CUBA,,,,,,,,,,,,2015
CYPRUS,"1,039",251,7,6,31,439,15,"1,174","45,685",0,"15,690",2015
CZECH REPUBLIC,"39,124","8,174",15,10,344,"50,300",160,"40,401","1,515,783","2,000,000","1,500,000",2015
DENMARK,"19,023","4,755",4,10,190,"30,100",72,"20,441","500,000","580,000","470,000",2015
DOMINICAN REPUBLIC,742,216,12,0,4,42,6,842,"83,842","1,900,842","350,842",2015
ECUADOR,,,,,,,,,,,,2015
EGYPT,621,129,5,3,0,13,3,"1,018","2,003",,,2015
EL SALVADOR,,,,,,,,,,,,2015
ESTONIA,"4,070",902,29,8,37,"1,613",114,"4,537","56,802",0,0,2015
FINLAND,"46,953","9,537",16,27,195,"147,454","2,046","49,362","530,000","600,000","500,000",2015
FRANCE,"212,303","43,986",93,34,539,"250,000","1,472","215,510","2,400,000","7,500,000","6,000,000",2015
GEORGIA,"1,568",273,7,6,7,44,10,"1,613","39,495","39,495","19,468",2015
GERMANY,"76,234","14,436",6,18,867,"381,187",176,,,"6,900,000","10,000,000",2015
GIBRALTAR,,,,,,,,,,,,2015
GREECE,"10,510","2,026",29,15,26,522,86,"10,937","144,599",,,2015
GUATEMALA,"3,326",884,16,6,5,"5,514",3,"3,371","59,304",,,2015
HONDURAS,,,,,,,,,,,,2015
HONG KONG,,,,,,,,,,,,2015
HUNGARY,"13,873","3,170",19,19,135,"4,878",151,"14,489","1,147,046",0,0,2015
ICELAND,"1,078",251,7,4,8,"1,734",30,"1,171","21,400","17,000","14,000",2015
INDIA,"40,563","7,153",125,3,16,349,76,"40,884","736,659","149,000,000","62,800,000",2015
INDONESIA,"37,176","14,370",35,9,40,"4,436",12,"37,322","365,670",,"4,436",2015
IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,,,,2015
IRELAND,"18,998","2,686",29,4,309,"24,659",204,"18,998",,,,2015
ISRAEL,,,,,,,,,,,,2015
ITALY,"155,228","39,245",53,61,341,"1,489",74,"159,204","6,812,350","15,000,000","7,000,000",2015
JAPAN,"301,333","107,129",175,15,125,"78,655",893,"301,605","14,804,740","10,000,000",,2015
JORDAN,,,,,,,,,,,,2015
KAZAKHSTAN,,,,,,,,,,,,2015
KIRGHIZISTAN,800,150,4,4,2,"1,005",3,850,"8,700",0,0,2015
KOREA (REPUBLIC OF),"17,242","5,612",23,15,119,"22,265",78,"17,812",,,,2015
KOSOVO,185,42,1,3,0,365,21,35,"2,343","10,000","8,000",2015
KUWAIT,,,,,,,,,,,,2015
LATVIA,,,,,,,,,,,,2015
LEBANON,,,,,,,,,,,,2015
LITHUANIA,"6,331","1,396",33,11,32,"4,000",48,"6,847","103,282","300,000","150,000",2015
LUXEMBOURG,,,,,,,,,,,,2015
MALAYSIA,"8,921","2,477",28,8,10,"2,204",3,"9,380","250,008","361,500",,2015
MALTA,"1,200",460,8,2,2,330,1,"1,200","45,300","58,000","42,000",2015
MEXICO,,,,,,,,,,,,2015
MOLDAVIA (REPUBLIC OF),"1,301",310,10,11,15,0,14,308,"1,668",,,2015
MONACO,17,3,1,1,0,12,0,21,,,,2015
MONGOLIA,,,,,,,,,,,,2015
MONTENEGRO,"1,498",235,0,14,37,494,30,"1,569","10,685","6,200","5,750",2015
MOROCCO,,,,,,,,,,,,2015
MYANMAR,,,,,,,,,,,,2015
NEW ZEALAND,,,,,,,,,,,,2015
NICARAGUA,159,32,8,4,1,28,8,203,"4,813",0,0,2015
NORTH MACEDONIA,"1,870",430,6,16,25,"2,150",40,"1,950","38,129","42,000","20,000",2015
NORWAY,"25,876","5,454",11,11,155,"72,394",235,"28,270","1,000,000","500,000","1,500,000",2015
PAKISTAN,"8,425","1,404",22,3,4,320,3,"8,425","71,058","180,000","120,400",2015
PANAMA,,,,,,,,,,,,2015
PARAGUAY,,,,,,,,,,,,2015
PERU,"6,081","1,268",37,12,13,189,12,"6,417",,,,2015
PHILIPPINES,"71,284","19,473",117,22,36,"16,918",26,"71,880","1,022,807",,,2015
POLAND,"42,175","8,677",53,17,208,"25,100",29,,,"65,454",,2015
PORTUGAL,"14,521","3,280",26,13,54,627,44,"15,173",,,,2015
PUERTO RICO,"2,890",457,10,6,17,553,2,"2,991","99,573","1,400,100","702,500",2015
ROMANIA,"11,621","2,443",21,24,49,"6,500",52,"12,141","223,132","500,000","200,000",2015
RUSSIAN FEDERATION,"359,000","75,128","1,014",41,733,,"7,200","367,000","3,502,000",,,2015
SAN MARINO,182,39,9,4,3,27,2,230,"4,834","5,000","4,500",2015
SERBIA,"37,062","10,636",83,29,465,"29,003",220,"37,770","1,226,955",,,2015
SINGAPORE,616,176,0,2,15,618,2,665,"83,400","60,000","40,500",2015
SLOVAKIA,"10,630","2,250",3,13,90,"8,959",3,"11,578",,,,2015
SLOVENIA,"3,405",685,6,12,152,0,120,"3,866","89,078",0,0,2015
SOUTH AFRICA,"15,601","4,097",47,4,93,"3,778",209,"15,901","757,279","9,000,000",1,2015
SPAIN,"58,339","15,886",56,30,235,"2,506",309,"59,339","2,230,178",,,2015
SRI LANKA,,,,,,,,,,,,2015
SUDAN,,,,,,,,,,,,2015
SWEDEN,"50,234","9,740",17,21,270,"280,000","1,000","50,234","2,800,000","730,000","550,000",2015
SWITZERLAND,,,1,5,140,"58,396",451,,,"530,000","450,000",2015
TAIWAN,"12,995","4,155",13,13,27,"12,439",13,"12,345","173,780","20,000","1,545",2015
THAILAND,"38,454","11,949",70,19,64,"30,770",10,"46,067","352,685","38,560","30,840",2015
THE NETHERLANDS,"33,878","6,617",0,18,284,"110,000",306,"35,880","3,000,000","1,500,000","1,300,000",2015
TURKEY,"2,211",429,11,6,5,0,25,"3,794","14,989","270,000","110,000",2015
UKRAINE,"19,527","7,579",71,39,97,"172,031",128,"20,659","200,373",0,0,2015
UNITED ARAB EMIRATES,,,,,,,,,,,,2015
URUGUAY,"3,651",626,19,3,51,669,10,"3,650","91,018","1,500,000","650,000",2015
UZBEKISTAN,503,112,2,4,4,"1,044",4,142,"1,537",,,2015
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2015
VIETNAM,,,,,,,,,,,,2015
